movimentacao_id,cliente_id,tipo_movimentacao,valor,data_movimentacao
151,151,transferência,374.23,2025-03-18
152,152,transferência,4579.27,2025-04-27
153,153,depósito,1642.17,2025-02-17
154,154,saque,2568.87,2025-01-03
155,155,transferência,976.35,2025-03-09
156,156,saque,863.66,2025-02-25
157,157,depósito,4629.72,2025-03-08
158,158,saque,1231.43,2025-01-07
159,159,depósito,1623.76,2025-03-24
160,160,depósito,3898.93,2025-04-02
161,161,transferência,3306.76,2025-01-07
162,162,transferência,2740.88,2025-04-17
163,163,saque,3705.05,2025-03-20
164,164,saque,2994.67,2025-03-25
165,165,depósito,3136.72,2025-03-23
166,166,saque,728.10,2025-03-08
167,167,saque,287.65,2025-03-28
168,168,transferência,621.41,2025-01-29
169,169,saque,2528.93,2025-03-19
170,170,depósito,3226.90,2025-02-20
171,171,saque,2296.35,2025-02-28
172,172,transferência,782.67,2025-04-02
173,173,transferência,3299.76,2025-05-06
174,174,saque,375.27,2025-03-26
175,175,depósito,1063.58,2025-01-23
176,176,depósito,2244.54,2025-02-10
177,177,saque,2187.66,2025-01-22
178,178,depósito,2654.49,2025-02-22
179,179,saque,2999.62,2025-03-25
180,180,saque,439.66,2025-01-24
181,181,depósito,3119.30,2025-03-18
182,182,saque,1173.52,2025-03-25
183,183,depósito,2223.35,2025-03-06
184,184,depósito,105.82,2025-01-11
185,185,transferência,3396.72,2025-03-03
186,186,saque,1068.87,2025-02-28
187,187,saque,1301.90,2025-02-21
188,188,depósito,1460.44,2025-04-26
189,189,depósito,1632.79,2025-01-29
190,190,depósito,2836.75,2025-02-23
191,191,transferência,4047.67,2025-01-29
192,192,saque,4617.14,2025-03-16
193,193,transferência,132.53,2025-02-27
194,194,saque,4257.52,2025-04-07
195,195,saque,1417.97,2025-04-11
196,196,saque,2205.13,2025-03-06
197,197,transferência,76.11,2025-04-27
198,198,transferência,2768.52,2025-02-24
199,199,depósito,3329.89,2025-03-28
200,200,transferência,930.14,2025-03-04
201,201,depósito,3921.22,2025-03-17
202,202,depósito,2944.43,2025-03-01
203,203,depósito,4176.51,2025-02-12
204,204,transferência,473.48,2025-03-13
205,205,depósito,2612.30,2025-02-02
206,206,saque,4967.01,2025-01-29
207,207,transferência,4441.65,2025-05-05
208,208,depósito,2235.46,2025-03-11
209,209,transferência,1566.39,2025-02-06
210,210,depósito,4382.09,2025-01-10
211,211,transferência,4492.85,2025-03-22
212,212,saque,4607.77,2025-04-07
213,213,depósito,791.46,2025-05-06
214,214,transferência,1454.24,2025-03-24
215,215,transferência,1850.53,2025-01-30
216,216,depósito,3929.74,2025-05-01
217,217,saque,2831.37,2025-05-06
218,218,transferência,1756.46,2025-02-22
219,219,depósito,3727.23,2025-02-03
220,220,depósito,732.86,2025-02-27
221,221,transferência,4869.76,2025-02-21
222,222,saque,2752.57,2025-02-17
223,223,saque,1676.44,2025-02-18
224,224,depósito,2582.63,2025-01-08
225,225,transferência,2996.61,2025-03-01
226,226,depósito,4617.41,2025-02-03
227,227,transferência,3370.01,2025-02-22
228,228,depósito,4532.34,2025-03-15
229,229,depósito,2757.36,2025-04-26
230,230,depósito,2063.53,2025-03-06
231,231,depósito,4313.45,2025-02-22
232,232,transferência,1852.78,2025-01-02
233,233,saque,1062.73,2025-01-07
234,234,depósito,443.69,2025-03-01
235,235,transferência,4338.57,2025-04-30
236,236,transferência,69.49,2025-02-28
237,237,transferência,4285.23,2025-04-13
238,238,transferência,3690.92,2025-03-05
239,239,transferência,1123.60,2025-02-12
240,240,saque,4784.43,2025-02-14
241,241,saque,3950.57,2025-05-03
242,242,depósito,1192.02,2025-02-06
243,243,depósito,3132.96,2025-04-25
244,244,depósito,4275.25,2025-03-09
245,245,transferência,468.32,2025-02-21
246,246,depósito,2099.89,2025-02-28
247,247,transferência,2984.35,2025-02-14
248,248,depósito,3031.19,2025-03-01
249,249,transferência,3362.27,2025-02-06
250,250,saque,3021.01,2025-05-07
251,251,depósito,4654.18,2025-04-25
252,252,saque,1539.80,2025-02-11
253,253,depósito,2815.39,2025-04-10
254,254,depósito,3478.62,2025-02-09
255,255,transferência,4332.01,2025-01-04
256,256,transferência,4651.34,2025-01-13
257,257,depósito,3506.05,2025-05-01
258,258,depósito,1815.58,2025-03-10
259,259,transferência,4403.06,2025-04-22
260,260,depósito,831.43,2025-01-30
261,261,saque,3648.13,2025-04-04
262,262,depósito,680.90,2025-01-07
263,263,transferência,3409.45,2025-01-28
264,264,saque,3718.62,2025-02-09
265,265,saque,3761.90,2025-02-06
266,266,transferência,1077.81,2025-02-16
267,267,depósito,2876.33,2025-04-13
268,268,transferência,419.04,2025-03-17
269,269,transferência,3350.83,2025-02-07
270,270,transferência,3663.40,2025-03-10
271,271,transferência,1014.05,2025-04-05
272,272,transferência,899.76,2025-03-24
273,273,saque,4265.46,2025-01-14
274,274,saque,3464.93,2025-03-18
275,275,depósito,265.36,2025-03-28
276,276,transferência,1034.52,2025-02-23
277,277,saque,2710.27,2025-01-07
278,278,depósito,503.87,2025-04-28
279,279,transferência,701.10,2025-02-02
280,280,saque,1132.64,2025-02-15
281,281,transferência,3161.29,2025-04-10
282,282,transferência,1654.49,2025-01-10
283,283,depósito,4483.12,2025-02-05
284,284,saque,4299.20,2025-04-14
285,285,depósito,3553.30,2025-04-20
286,286,saque,2998.03,2025-04-18
287,287,transferência,4370.15,2025-05-01
288,288,saque,4810.92,2025-03-01
289,289,transferência,3132.07,2025-03-17
290,290,saque,330.68,2025-04-16
291,291,saque,2521.73,2025-01-19
292,292,transferência,3962.61,2025-03-12
293,293,saque,314.86,2025-01-27
294,294,transferência,3716.83,2025-01-11
295,295,depósito,3184.73,2025-03-12
296,296,depósito,718.31,2025-03-11
297,297,depósito,3305.88,2025-05-06
298,298,depósito,1768.41,2025-02-24
299,299,saque,4459.15,2025-03-28
300,300,saque,497.44,2025-04-13
301,301,saque,851.16,2025-05-03
302,302,saque,3005.67,2025-01-08
303,303,saque,575.20,2025-03-01
304,304,depósito,1200.19,2025-01-29
305,305,saque,2902.42,2025-03-22
306,306,transferência,4089.65,2025-01-19
307,307,depósito,4002.74,2025-01-11
308,308,transferência,3872.71,2025-03-21
309,309,saque,2596.76,2025-04-25
310,310,transferência,1287.08,2025-04-24
311,311,transferência,4212.70,2025-01-21
312,312,saque,175.55,2025-01-23
313,313,transferência,735.02,2025-03-28
314,314,transferência,3220.68,2025-05-01
315,315,depósito,1105.81,2025-02-22
316,316,saque,559.38,2025-03-07
317,317,transferência,602.79,2025-03-09
318,318,depósito,3424.65,2025-04-26
319,319,saque,137.92,2025-02-26
320,320,depósito,664.82,2025-01-01
321,321,saque,3797.08,2025-03-06
322,322,transferência,4491.58,2025-02-14
323,323,transferência,1565.97,2025-01-06
324,324,transferência,861.99,2025-04-18
325,325,transferência,2138.14,2025-01-17
326,326,saque,1667.69,2025-03-15
327,327,transferência,4478.36,2025-02-09
328,328,transferência,184.56,2025-01-16
329,329,depósito,2427.08,2025-04-12
330,330,transferência,4652.06,2025-05-05
331,331,transferência,2793.76,2025-01-13
332,332,transferência,4062.09,2025-04-07
333,333,transferência,3522.42,2025-03-02
334,334,transferência,4046.61,2025-04-08
335,335,transferência,3481.01,2025-03-01
336,336,transferência,176.64,2025-02-01
337,337,transferência,1204.15,2025-05-05
338,338,transferência,4483.13,2025-01-26
339,339,saque,3193.49,2025-01-20
340,340,depósito,1580.55,2025-03-03
341,341,depósito,4749.99,2025-03-13
342,342,depósito,4130.85,2025-01-14
343,343,saque,229.82,2025-05-01
344,344,transferência,572.19,2025-01-05
345,345,depósito,2551.82,2025-02-20
346,346,saque,1386.02,2025-04-15
347,347,depósito,143.79,2025-01-31
348,348,depósito,4806.02,2025-04-15
349,349,transferência,487.64,2025-04-20
350,350,transferência,1075.92,2025-02-02
351,351,depósito,2950.11,2025-04-18
352,352,transferência,4946.43,2025-03-20
353,353,depósito,2213.50,2025-04-12
354,354,transferência,496.22,2025-03-21
355,355,depósito,69.02,2025-04-22
356,356,saque,512.71,2025-02-27
357,357,depósito,1043.56,2025-02-08
358,358,saque,3347.65,2025-03-14
359,359,depósito,1622.48,2025-02-12
360,360,saque,1748.79,2025-02-22
361,361,saque,4378.52,2025-03-06
362,362,saque,3851.53,2025-01-02
363,363,saque,4807.27,2025-01-18
364,364,depósito,3778.63,2025-04-05
365,365,saque,305.02,2025-01-27
366,366,depósito,1322.80,2025-02-06
367,367,saque,3515.53,2025-02-23
368,368,transferência,3774.44,2025-02-10
369,369,transferência,2062.82,2025-02-27
370,370,depósito,883.79,2025-05-01
371,371,saque,3147.04,2025-01-15
372,372,saque,1572.56,2025-03-28
373,373,depósito,2042.59,2025-04-01
374,374,saque,4261.83,2025-01-12
375,375,saque,2684.91,2025-03-02
376,376,depósito,94.26,2025-01-02
377,377,saque,4386.41,2025-01-12
378,378,saque,793.84,2025-03-27
379,379,saque,828.99,2025-05-01
380,380,depósito,3145.97,2025-02-15
381,381,depósito,2878.66,2025-05-03
382,382,transferência,954.05,2025-01-26
383,383,saque,187.34,2025-04-06
384,384,transferência,1950.98,2025-01-29
385,385,depósito,2129.81,2025-01-26
386,386,depósito,2873.55,2025-04-04
387,387,transferência,2174.42,2025-02-13
388,388,saque,1984.58,2025-02-18
389,389,depósito,2912.32,2025-02-10
390,390,depósito,1450.95,2025-01-02
391,391,transferência,4606.18,2025-01-01
392,392,saque,1375.13,2025-03-08
393,393,transferência,3010.39,2025-02-17
394,394,transferência,3594.78,2025-01-13
395,395,depósito,2657.25,2025-04-24
396,396,saque,543.46,2025-03-06
397,397,saque,1138.74,2025-03-15
398,398,depósito,4047.85,2025-03-08
399,399,depósito,4651.47,2025-04-06
400,400,saque,3390.45,2025-03-26
401,401,saque,2618.32,2025-03-14
402,402,saque,4814.36,2025-01-15
403,403,depósito,2524.77,2025-04-04
404,404,transferência,1158.11,2025-03-09
405,405,depósito,4802.44,2025-04-14
406,406,transferência,1072.68,2025-05-06
407,407,transferência,2075.57,2025-04-04
408,408,depósito,975.36,2025-04-14
409,409,saque,501.29,2025-04-04
410,410,saque,4037.77,2025-05-02
411,411,depósito,4139.04,2025-01-02
412,412,depósito,798.06,2025-03-31
413,413,transferência,3678.88,2025-03-09
414,414,transferência,3011.61,2025-03-26
415,415,depósito,1166.03,2025-03-18
416,416,transferência,1637.06,2025-01-03
417,417,saque,4598.36,2025-02-13
418,418,saque,4483.98,2025-01-29
419,419,transferência,1306.56,2025-04-27
420,420,depósito,4569.75,2025-02-12
421,421,transferência,1412.41,2025-04-23
422,422,transferência,2173.04,2025-02-12
423,423,depósito,4101.27,2025-02-01
424,424,saque,1355.04,2025-04-21
425,425,saque,3502.08,2025-03-20
426,426,transferência,1144.98,2025-03-13
427,427,transferência,1396.62,2025-03-11
428,428,transferência,1745.76,2025-02-03
429,429,depósito,2581.60,2025-03-23
430,430,depósito,258.28,2025-02-22
431,431,transferência,2004.23,2025-01-09
432,432,transferência,753.66,2025-04-02
433,433,transferência,2999.39,2025-03-22
434,434,transferência,1993.01,2025-04-28
435,435,saque,1790.60,2025-04-30
436,436,transferência,1940.96,2025-01-21
437,437,depósito,4548.76,2025-01-23
438,438,transferência,706.39,2025-01-06
439,439,saque,4002.60,2025-01-20
440,440,transferência,3713.00,2025-02-18
441,441,depósito,3208.90,2025-04-07
442,442,transferência,4995.90,2025-03-31
443,443,transferência,4189.99,2025-02-02
444,444,depósito,2471.77,2025-02-24
445,445,depósito,1535.43,2025-03-01
446,446,saque,4957.13,2025-02-07
447,447,saque,2713.37,2025-02-04
448,448,depósito,538.59,2025-04-14
449,449,depósito,2035.19,2025-03-26
450,450,depósito,2320.80,2025-05-01
451,451,depósito,2710.77,2025-03-25
452,452,saque,4120.72,2025-02-28
453,453,depósito,251.02,2025-02-23
454,454,saque,555.26,2025-01-24
455,455,saque,1436.98,2025-02-19
456,456,saque,1281.43,2025-04-25
457,457,saque,1531.83,2025-04-13
458,458,transferência,1039.84,2025-02-24
459,459,saque,2367.85,2025-02-02
460,460,transferência,3805.33,2025-04-09
461,461,transferência,4111.06,2025-01-25
462,462,transferência,1085.81,2025-03-29
463,463,depósito,2955.53,2025-04-10
464,464,depósito,1151.39,2025-04-30
465,465,depósito,4204.68,2025-03-11
466,466,saque,4958.49,2025-01-20
467,467,depósito,1059.19,2025-05-06
468,468,transferência,2178.37,2025-01-06
469,469,depósito,2770.81,2025-04-30
470,470,depósito,3368.36,2025-01-14
471,471,transferência,3203.59,2025-01-29
472,472,transferência,2189.80,2025-01-15
473,473,transferência,3482.06,2025-04-09
474,474,depósito,3775.57,2025-04-17
475,475,depósito,2990.79,2025-02-12
476,476,transferência,2790.95,2025-05-06
477,477,depósito,1070.66,2025-01-27
478,478,depósito,3214.35,2025-04-10
479,479,saque,3250.01,2025-04-18
480,480,depósito,3872.03,2025-03-28
481,481,depósito,4148.15,2025-05-01
482,482,depósito,3400.29,2025-01-03
483,483,saque,2530.49,2025-02-08
484,484,saque,1908.80,2025-01-18
485,485,transferência,4339.46,2025-04-12
486,486,depósito,2844.30,2025-05-01
487,487,depósito,3649.47,2025-03-12
488,488,transferência,2587.05,2025-02-11
489,489,depósito,539.95,2025-03-11
490,490,saque,496.20,2025-04-05
491,491,transferência,1177.91,2025-05-07
492,492,depósito,3259.95,2025-03-11
493,493,transferência,65.98,2025-05-01
494,494,saque,2859.46,2025-01-29
495,495,transferência,1144.93,2025-04-21
496,496,transferência,2326.87,2025-02-19
497,497,depósito,3262.65,2025-02-16
498,498,depósito,3226.45,2025-01-24
499,499,depósito,4497.84,2025-01-09
500,500,transferência,2665.11,2025-01-16
501,501,transferência,4924.17,2025-02-18
502,502,saque,4679.88,2025-03-12
503,503,depósito,1528.88,2025-03-09
504,504,depósito,2154.61,2025-04-30
505,505,depósito,144.81,2025-04-18
506,506,depósito,2218.03,2025-02-27
507,507,transferência,1019.54,2025-04-19
508,508,transferência,4267.84,2025-05-07
509,509,transferência,3269.89,2025-01-30
510,510,transferência,3883.95,2025-02-14
511,511,saque,735.32,2025-02-23
512,512,depósito,1718.24,2025-01-22
513,513,transferência,3975.93,2025-04-20
514,514,transferência,1823.11,2025-04-15
515,515,saque,4240.93,2025-01-24
516,516,transferência,542.93,2025-01-19
517,517,depósito,2972.99,2025-03-01
518,518,saque,2608.74,2025-01-09
519,519,depósito,4923.27,2025-01-06
520,520,depósito,3007.45,2025-02-26
521,521,saque,3198.59,2025-02-21
522,522,depósito,146.63,2025-05-01
523,523,transferência,3825.51,2025-03-24
524,524,saque,4045.14,2025-02-02
525,525,depósito,4056.59,2025-04-17
526,526,depósito,4091.06,2025-04-16
527,527,saque,2521.08,2025-05-05
528,528,transferência,2748.79,2025-01-25
529,529,depósito,366.07,2025-04-07
530,530,saque,2545.01,2025-03-18
531,531,depósito,2540.87,2025-02-02
532,532,depósito,3686.89,2025-02-15
533,533,depósito,3592.89,2025-04-20
534,534,depósito,1774.73,2025-02-14
535,535,saque,3860.72,2025-02-01
536,536,transferência,4154.71,2025-03-12
537,537,transferência,2831.42,2025-02-16
538,538,depósito,200.46,2025-03-20
539,539,depósito,1728.31,2025-03-31
540,540,depósito,3000.42,2025-02-11
541,541,depósito,2806.83,2025-03-25
542,542,depósito,1201.77,2025-03-18
543,543,saque,1926.42,2025-01-27
544,544,depósito,3011.50,2025-02-08
545,545,depósito,4060.83,2025-04-04
546,546,saque,2834.83,2025-02-16
547,547,saque,3071.12,2025-04-25
548,548,depósito,3298.48,2025-03-13
549,549,depósito,3326.97,2025-02-22
550,550,saque,1800.11,2025-03-09
551,551,depósito,4212.57,2025-02-02
552,552,depósito,4195.44,2025-01-07
553,553,depósito,3180.05,2025-04-19
554,554,saque,1650.36,2025-01-08
555,555,depósito,4242.69,2025-04-28
556,556,transferência,521.76,2025-04-14
557,557,depósito,3673.12,2025-01-30
558,558,saque,2390.92,2025-03-23
559,559,transferência,3773.91,2025-01-16
560,560,saque,2007.80,2025-01-16
561,561,transferência,4918.32,2025-04-27
562,562,transferência,316.89,2025-01-11
563,563,saque,2083.19,2025-01-06
564,564,saque,3747.62,2025-01-13
565,565,saque,2273.55,2025-02-09
566,566,saque,4621.42,2025-04-11
567,567,transferência,3533.16,2025-04-10
568,568,saque,2728.82,2025-03-30
569,569,depósito,3467.08,2025-03-27
570,570,depósito,4562.21,2025-01-01
571,571,depósito,3753.95,2025-02-22
572,572,depósito,1361.96,2025-04-01
573,573,saque,477.27,2025-02-08
574,574,saque,2300.54,2025-04-27
575,575,transferência,4101.50,2025-02-15
576,576,transferência,4065.51,2025-02-27
577,577,transferência,4127.63,2025-04-12
578,578,transferência,4163.00,2025-01-18
579,579,saque,2004.59,2025-03-04
580,580,saque,3080.50,2025-03-28
581,581,transferência,3602.79,2025-03-15
582,582,saque,3210.69,2025-01-15
583,583,saque,2424.87,2025-03-17
584,584,saque,1575.19,2025-03-05
585,585,transferência,2215.36,2025-03-23
586,586,transferência,437.69,2025-02-01
587,587,transferência,1499.77,2025-01-19
588,588,transferência,2397.95,2025-01-27
589,589,transferência,1013.37,2025-02-12
590,590,saque,4520.77,2025-04-18
591,591,depósito,875.10,2025-03-25
592,592,depósito,1012.09,2025-01-25
593,593,depósito,2545.66,2025-03-28
594,594,transferência,3868.84,2025-04-28
595,595,depósito,1473.06,2025-03-27
596,596,transferência,2520.60,2025-02-21
597,597,transferência,337.49,2025-03-21
598,598,saque,2732.94,2025-01-05
599,599,depósito,2991.02,2025-01-08
600,600,saque,3851.90,2025-01-21
601,601,saque,4822.69,2025-01-24
602,602,transferência,4853.05,2025-02-08
603,603,depósito,2673.86,2025-04-11
604,604,saque,1454.86,2025-02-13
605,605,saque,3178.77,2025-02-22
606,606,saque,2248.83,2025-04-22
607,607,saque,3236.87,2025-04-13
608,608,saque,952.20,2025-02-19
609,609,saque,2203.07,2025-04-06
610,610,transferência,3848.73,2025-02-06
611,611,depósito,3989.09,2025-02-06
612,612,transferência,1750.46,2025-02-20
613,613,saque,773.70,2025-04-15
614,614,saque,4366.13,2025-02-25
615,615,transferência,4441.17,2025-03-15
616,616,depósito,4919.99,2025-01-08
617,617,saque,3773.42,2025-01-24
618,618,saque,4633.56,2025-04-20
619,619,depósito,1840.49,2025-02-28
620,620,depósito,433.57,2025-03-18
621,621,saque,3175.62,2025-01-28
622,622,transferência,4416.48,2025-05-07
623,623,saque,767.73,2025-01-07
624,624,saque,561.35,2025-01-15
625,625,depósito,3373.70,2025-01-06
626,626,depósito,2170.28,2025-05-06
627,627,transferência,2883.01,2025-03-19
628,628,transferência,3662.43,2025-04-26
629,629,saque,1778.77,2025-01-28
630,630,transferência,2657.35,2025-01-18
631,631,depósito,1436.89,2025-05-03
632,632,depósito,4327.86,2025-01-17
633,633,depósito,3404.18,2025-02-12
634,634,depósito,3518.10,2025-03-28
635,635,transferência,4348.51,2025-01-03
636,636,depósito,751.02,2025-03-13
637,637,saque,2416.87,2025-01-14
638,638,transferência,910.89,2025-02-27
639,639,saque,2275.68,2025-01-15
640,640,depósito,623.06,2025-02-02
641,641,transferência,300.48,2025-01-19
642,642,saque,2733.52,2025-03-14
643,643,transferência,4165.88,2025-04-16
644,644,saque,1808.01,2025-03-25
645,645,saque,3516.55,2025-04-05
646,646,transferência,2423.46,2025-03-20
647,647,transferência,4954.15,2025-04-17
648,648,saque,4065.81,2025-02-19
649,649,saque,4065.62,2025-02-02
650,650,saque,3507.47,2025-01-21
651,651,depósito,3534.59,2025-04-03
652,652,transferência,3050.29,2025-03-24
653,653,saque,1922.86,2025-02-10
654,654,depósito,1222.81,2025-02-26
655,655,saque,1335.55,2025-03-13
656,656,depósito,2044.46,2025-03-08
657,657,transferência,2183.16,2025-02-10
658,658,saque,4804.60,2025-04-22
659,659,transferência,2505.87,2025-05-04
660,660,depósito,2931.59,2025-03-23
661,661,depósito,3670.40,2025-04-21
662,662,depósito,3641.51,2025-01-23
663,663,depósito,2353.33,2025-01-08
664,664,transferência,3255.91,2025-03-23
665,665,saque,1823.72,2025-02-21
666,666,saque,148.40,2025-04-06
667,667,depósito,3105.31,2025-03-18
668,668,transferência,2117.13,2025-03-11
669,669,saque,645.56,2025-03-19
670,670,transferência,2459.20,2025-01-14
671,671,transferência,1796.76,2025-03-05
672,672,saque,2502.97,2025-03-24
673,673,transferência,1559.29,2025-04-23
674,674,depósito,193.89,2025-02-12
675,675,saque,1798.40,2025-05-01
676,676,transferência,4053.08,2025-03-31
677,677,saque,160.73,2025-01-04
678,678,depósito,3980.58,2025-02-17
679,679,depósito,2105.86,2025-03-10
680,680,saque,258.06,2025-04-21
681,681,transferência,3309.30,2025-04-17
682,682,depósito,4918.44,2025-03-12
683,683,saque,3065.03,2025-04-14
684,684,transferência,3108.24,2025-02-17
685,685,saque,3153.64,2025-04-01
686,686,saque,4110.12,2025-03-10
687,687,depósito,2140.97,2025-03-27
688,688,transferência,1103.06,2025-03-13
689,689,transferência,2648.53,2025-01-18
690,690,depósito,1007.72,2025-02-15
691,691,saque,3796.58,2025-01-31
692,692,transferência,72.63,2025-01-31
693,693,depósito,820.55,2025-01-23
694,694,depósito,2382.88,2025-01-11
695,695,saque,1679.68,2025-03-12
696,696,transferência,2495.33,2025-02-13
697,697,saque,1105.42,2025-02-21
698,698,transferência,2087.35,2025-03-07
699,699,depósito,1572.74,2025-01-08
700,700,depósito,2230.69,2025-03-25
701,701,transferência,4402.39,2025-04-24
702,702,transferência,953.04,2025-01-21
703,703,saque,2849.32,2025-02-18
704,704,transferência,4263.97,2025-02-07
705,705,transferência,315.83,2025-04-02
706,706,depósito,4196.15,2025-02-09
707,707,depósito,3405.30,2025-04-05
708,708,depósito,658.46,2025-03-06
709,709,transferência,909.61,2025-05-07
710,710,saque,2370.03,2025-01-18
711,711,saque,679.10,2025-02-14
712,712,depósito,1478.20,2025-04-12
713,713,transferência,2081.28,2025-05-02
714,714,saque,2682.83,2025-01-30
