pagamento_id,cliente_id,valor,data_pagamento
147,147,289.47,2025-02-28
148,148,129.17,2025-03-27
149,149,977.27,2025-01-16
150,150,504.36,2025-03-08
151,151,608.49,2025-03-31
152,152,386.59,2025-03-07
153,153,363.25,2025-03-29
154,154,486.99,2025-04-14
155,155,46.67,2025-03-01
156,156,141.93,2025-01-27
157,157,342.11,2025-05-01
158,158,578.20,2025-01-29
159,159,93.26,2025-02-16
160,160,113.30,2025-02-23
161,161,318.49,2025-01-08
162,162,743.39,2025-04-01
163,163,534.29,2025-02-18
164,164,192.04,2025-01-30
165,165,312.22,2025-01-10
166,166,396.73,2025-04-04
167,167,539.59,2025-03-14
168,168,171.85,2025-02-14
169,169,836.51,2025-01-06
170,170,250.89,2025-05-06
171,171,843.09,2025-04-15
172,172,174.06,2025-01-01
173,173,810.47,2025-03-06
174,174,456.60,2025-04-23
175,175,408.45,2025-01-04
176,176,211.15,2025-01-07
177,177,611.41,2025-04-15
178,178,476.28,2025-03-14
179,179,887.88,2025-03-23
180,180,747.25,2025-04-21
181,181,561.65,2025-01-10
182,182,812.84,2025-01-08
183,183,154.44,2025-04-19
184,184,538.07,2025-03-31
185,185,514.12,2025-01-10
186,186,721.47,2025-03-09
187,187,221.44,2025-04-12
188,188,573.65,2025-03-14
189,189,767.90,2025-03-11
190,190,309.01,2025-01-26
191,191,967.47,2025-01-10
192,192,651.47,2025-01-04
193,193,260.65,2025-01-09
194,194,307.55,2025-03-24
195,195,770.10,2025-05-06
196,196,909.36,2025-03-17
197,197,807.36,2025-05-03
198,198,993.35,2025-01-15
199,199,221.50,2025-03-06
200,200,33.08,2025-01-18
201,201,310.31,2025-03-04
202,202,944.24,2025-03-27
203,203,769.20,2025-03-27
204,204,329.09,2025-03-09
205,205,705.58,2025-05-06
206,206,805.55,2025-03-22
207,207,753.40,2025-03-10
208,208,65.24,2025-01-16
209,209,604.70,2025-02-08
210,210,886.07,2025-03-06
211,211,808.46,2025-04-07
212,212,771.27,2025-03-23
213,213,903.83,2025-05-01
214,214,553.18,2025-03-07
215,215,704.31,2025-04-20
216,216,163.02,2025-02-10
217,217,435.31,2025-01-10
218,218,876.02,2025-01-26
219,219,555.93,2025-01-06
220,220,160.74,2025-04-10
221,221,926.55,2025-02-19
222,222,817.26,2025-02-20
223,223,907.31,2025-04-19
224,224,623.38,2025-01-08
225,225,520.04,2025-03-18
226,226,212.45,2025-03-12
227,227,859.71,2025-03-22
228,228,542.23,2025-03-06
229,229,159.21,2025-03-26
230,230,56.29,2025-03-08
231,231,458.69,2025-01-24
232,232,798.12,2025-02-17
233,233,444.90,2025-01-30
234,234,170.59,2025-03-31
235,235,351.01,2025-03-28
236,236,651.31,2025-02-14
237,237,43.68,2025-01-03
238,238,565.53,2025-02-18
239,239,196.39,2025-02-08
240,240,423.48,2025-01-02
241,241,930.72,2025-04-03
242,242,665.77,2025-04-03
243,243,730.94,2025-04-18
244,244,204.81,2025-02-10
245,245,114.89,2025-04-04
246,246,950.27,2025-02-23
247,247,207.17,2025-04-20
248,248,658.07,2025-03-09
249,249,280.04,2025-01-27
250,250,817.71,2025-03-26
251,251,875.37,2025-03-27
252,252,908.81,2025-01-29
253,253,455.93,2025-03-03
254,254,539.86,2025-01-02
255,255,461.72,2025-03-15
256,256,311.14,2025-04-20
257,257,443.87,2025-03-31
258,258,303.88,2025-01-07
259,259,684.92,2025-04-18
260,260,65.90,2025-01-01
261,261,145.29,2025-01-28
262,262,973.64,2025-01-20
263,263,118.43,2025-01-25
264,264,437.93,2025-01-12
265,265,694.55,2025-01-16
266,266,394.16,2025-04-01
267,267,651.11,2025-04-16
268,268,524.54,2025-05-04
269,269,71.22,2025-02-08
270,270,218.21,2025-01-24
271,271,711.12,2025-02-12
272,272,856.34,2025-03-20
273,273,819.19,2025-03-28
274,274,610.51,2025-03-25
275,275,131.46,2025-04-11
276,276,583.22,2025-01-10
277,277,921.15,2025-04-04
278,278,205.35,2025-03-23
279,279,850.22,2025-02-08
280,280,114.35,2025-02-14
281,281,748.28,2025-03-25
282,282,364.16,2025-02-24
283,283,151.92,2025-04-19
284,284,481.22,2025-05-05
285,285,254.29,2025-03-05
286,286,264.50,2025-02-21
287,287,54.99,2025-03-04
288,288,216.30,2025-02-02
289,289,867.99,2025-01-06
290,290,801.61,2025-03-13
291,291,762.35,2025-03-31
292,292,158.11,2025-02-13
293,293,576.48,2025-05-02
294,294,46.07,2025-03-24
295,295,197.87,2025-02-26
296,296,394.05,2025-02-03
297,297,119.91,2025-02-11
298,298,798.07,2025-04-28
299,299,530.73,2025-02-27
300,300,997.73,2025-04-26
301,301,723.13,2025-04-25
302,302,373.58,2025-02-05
303,303,382.17,2025-02-23
304,304,862.37,2025-03-07
305,305,978.66,2025-01-10
306,306,946.88,2025-04-23
307,307,851.42,2025-03-11
308,308,416.93,2025-02-19
309,309,351.64,2025-01-05
310,310,843.61,2025-02-01
311,311,461.82,2025-02-11
312,312,662.28,2025-02-14
313,313,648.77,2025-01-14
314,314,424.19,2025-03-31
315,315,39.29,2025-04-18
316,316,857.82,2025-04-29
317,317,535.55,2025-04-28
318,318,182.85,2025-01-03
319,319,343.28,2025-04-07
320,320,32.72,2025-03-25
321,321,133.42,2025-02-18
322,322,25.60,2025-03-27
323,323,718.62,2025-03-07
324,324,167.24,2025-03-16
325,325,839.85,2025-04-25
326,326,178.95,2025-01-10
327,327,958.50,2025-04-24
328,328,844.62,2025-01-12
329,329,217.47,2025-01-02
330,330,290.21,2025-04-12
331,331,452.60,2025-01-31
332,332,640.97,2025-01-30
333,333,321.59,2025-03-17
334,334,538.23,2025-05-02
335,335,841.82,2025-02-22
336,336,873.84,2025-01-23
337,337,580.28,2025-04-12
338,338,327.32,2025-03-21
339,339,521.24,2025-01-22
340,340,683.93,2025-01-04
341,341,971.84,2025-04-18
342,342,980.07,2025-02-19
343,343,967.45,2025-03-19
344,344,27.04,2025-01-13
345,345,986.58,2025-03-14
346,346,907.05,2025-04-21
347,347,696.97,2025-04-04
348,348,919.79,2025-02-04
349,349,698.02,2025-01-27
350,350,453.81,2025-01-01
351,351,491.69,2025-03-17
352,352,939.40,2025-03-22
353,353,803.70,2025-03-24
354,354,503.46,2025-02-05
355,355,546.04,2025-03-22
356,356,509.08,2025-02-07
357,357,878.83,2025-01-03
358,358,807.25,2025-02-28
359,359,341.92,2025-04-12
360,360,805.66,2025-03-25
361,361,111.74,2025-05-05
362,362,678.09,2025-03-15
363,363,587.95,2025-05-03
364,364,718.06,2025-04-10
365,365,577.17,2025-04-03
366,366,268.97,2025-02-01
367,367,256.29,2025-02-23
368,368,533.35,2025-04-28
369,369,940.26,2025-04-21
370,370,49.80,2025-03-21
371,371,346.99,2025-01-11
372,372,30.00,2025-03-23
373,373,435.27,2025-02-08
374,374,548.69,2025-04-03
375,375,628.08,2025-04-18
376,376,887.07,2025-04-01
377,377,969.04,2025-01-03
378,378,245.04,2025-02-12
379,379,431.39,2025-01-08
380,380,73.54,2025-03-14
381,381,926.38,2025-03-12
382,382,134.53,2025-03-15
383,383,495.98,2025-03-25
384,384,985.11,2025-04-26
385,385,848.47,2025-05-04
386,386,436.92,2025-01-12
387,387,949.74,2025-02-23
388,388,989.18,2025-01-12
389,389,538.27,2025-02-16
390,390,824.95,2025-04-07
391,391,682.42,2025-02-02
392,392,41.16,2025-04-17
393,393,707.49,2025-02-02
394,394,337.15,2025-01-29
395,395,710.28,2025-02-17
396,396,455.33,2025-04-17
397,397,768.89,2025-02-04
398,398,473.89,2025-01-16
399,399,311.86,2025-04-15
400,400,177.43,2025-03-12
401,401,857.80,2025-04-02
402,402,32.73,2025-01-20
403,403,226.87,2025-02-14
404,404,298.16,2025-03-01
405,405,195.03,2025-04-08
406,406,700.09,2025-03-03
407,407,233.81,2025-03-02
408,408,169.79,2025-04-12
409,409,458.32,2025-02-10
410,410,876.02,2025-03-23
411,411,457.42,2025-01-01
412,412,751.74,2025-01-21
413,413,478.61,2025-03-15
414,414,581.07,2025-01-04
415,415,292.13,2025-02-07
416,416,542.95,2025-01-31
417,417,587.74,2025-02-10
418,418,954.08,2025-04-26
419,419,578.95,2025-03-21
420,420,114.22,2025-04-24
421,421,195.15,2025-02-01
422,422,471.93,2025-02-16
423,423,418.19,2025-03-19
424,424,531.55,2025-05-07
425,425,166.38,2025-03-27
426,426,611.58,2025-01-31
427,427,372.93,2025-03-05
428,428,891.24,2025-05-06
429,429,495.57,2025-02-02
430,430,496.38,2025-05-04
431,431,815.31,2025-04-19
432,432,419.52,2025-01-26
433,433,272.29,2025-04-26
434,434,468.43,2025-03-27
435,435,522.05,2025-02-13
436,436,528.76,2025-02-22
437,437,946.70,2025-01-08
438,438,466.48,2025-02-19
439,439,391.11,2025-04-01
440,440,192.01,2025-04-30
441,441,38.00,2025-05-03
442,442,350.73,2025-03-25
443,443,984.60,2025-03-10
444,444,693.58,2025-03-03
445,445,74.08,2025-01-09
446,446,995.40,2025-03-28
447,447,650.04,2025-04-13
448,448,362.97,2025-01-05
449,449,144.10,2025-02-25
450,450,716.04,2025-03-25
451,451,457.35,2025-01-22
452,452,106.32,2025-04-15
453,453,888.26,2025-04-30
454,454,136.54,2025-02-11
455,455,403.82,2025-01-27
456,456,265.22,2025-03-13
457,457,541.62,2025-03-22
458,458,261.08,2025-02-04
459,459,278.36,2025-03-02
460,460,238.97,2025-02-26
461,461,838.77,2025-01-27
462,462,372.92,2025-01-18
463,463,487.01,2025-01-18
464,464,388.17,2025-01-09
465,465,444.70,2025-03-17
466,466,688.68,2025-03-10
467,467,211.49,2025-04-22
468,468,596.57,2025-01-17
469,469,799.79,2025-02-15
470,470,378.89,2025-02-05
471,471,456.26,2025-05-02
472,472,875.94,2025-02-17
473,473,938.61,2025-02-01
474,474,952.33,2025-02-10
475,475,234.47,2025-05-04
476,476,935.25,2025-03-15
477,477,23.52,2025-01-05
478,478,864.30,2025-04-25
479,479,177.63,2025-03-12
480,480,201.73,2025-05-07
481,481,816.42,2025-04-11
482,482,950.30,2025-03-31
483,483,402.09,2025-01-06
484,484,157.46,2025-04-19
485,485,197.52,2025-03-19
486,486,542.09,2025-01-23
487,487,775.59,2025-02-18
488,488,84.78,2025-02-05
489,489,976.23,2025-04-17
490,490,27.85,2025-04-26
491,491,290.69,2025-03-19
492,492,654.48,2025-02-15
493,493,436.59,2025-02-10
494,494,555.51,2025-03-05
495,495,685.29,2025-03-07
496,496,176.69,2025-03-05
497,497,364.06,2025-04-28
498,498,80.40,2025-02-10
499,499,914.45,2025-03-27
500,500,636.48,2025-01-18
501,501,347.38,2025-04-07
502,502,181.45,2025-04-12
503,503,419.95,2025-04-15
504,504,549.10,2025-05-05
505,505,866.61,2025-04-10
506,506,817.60,2025-04-18
507,507,82.25,2025-01-20
508,508,822.22,2025-04-26
509,509,237.65,2025-02-15
510,510,273.16,2025-03-19
511,511,155.93,2025-05-06
512,512,932.92,2025-01-26
513,513,461.73,2025-01-10
514,514,92.69,2025-03-06
515,515,564.56,2025-03-19
516,516,894.58,2025-03-01
517,517,197.42,2025-04-14
518,518,436.22,2025-02-27
519,519,545.27,2025-02-13
520,520,169.95,2025-03-26
521,521,264.93,2025-02-01
522,522,250.88,2025-02-28
523,523,115.47,2025-01-28
524,524,150.65,2025-04-18
525,525,51.57,2025-02-16
526,526,132.35,2025-04-27
527,527,237.61,2025-04-07
528,528,670.31,2025-02-06
529,529,231.95,2025-01-19
530,530,74.94,2025-04-09
531,531,486.58,2025-02-27
532,532,21.94,2025-04-26
533,533,177.16,2025-05-03
534,534,583.31,2025-05-06
535,535,703.72,2025-04-13
536,536,984.65,2025-04-08
537,537,200.32,2025-01-12
538,538,432.44,2025-04-08
539,539,543.66,2025-02-03
540,540,910.23,2025-04-05
541,541,473.54,2025-02-28
542,542,821.35,2025-03-02
543,543,615.38,2025-04-12
544,544,818.99,2025-01-28
545,545,60.18,2025-04-21
546,546,949.69,2025-01-14
547,547,751.19,2025-02-09
548,548,842.58,2025-01-03
549,549,732.47,2025-04-19
550,550,247.02,2025-03-30
551,551,63.76,2025-03-04
552,552,763.94,2025-02-04
553,553,557.89,2025-01-13
554,554,289.53,2025-03-22
555,555,967.89,2025-01-15
556,556,643.32,2025-02-08
557,557,676.42,2025-02-11
558,558,638.16,2025-04-14
559,559,392.82,2025-05-07
560,560,549.53,2025-03-13
561,561,311.01,2025-04-13
562,562,839.32,2025-01-20
563,563,767.46,2025-02-06
564,564,719.04,2025-02-03
565,565,41.20,2025-04-12
566,566,396.53,2025-01-07
567,567,653.93,2025-02-04
568,568,225.56,2025-02-16
569,569,923.43,2025-04-27
570,570,458.67,2025-03-16
571,571,853.09,2025-03-18
572,572,134.83,2025-04-22
573,573,208.98,2025-04-27
574,574,643.12,2025-04-01
575,575,624.70,2025-03-09
576,576,497.71,2025-01-19
577,577,305.69,2025-02-12
578,578,638.16,2025-01-24
579,579,757.22,2025-02-19
580,580,489.04,2025-04-26
581,581,569.57,2025-01-24
582,582,380.35,2025-04-17
583,583,378.18,2025-02-06
584,584,729.54,2025-02-18
585,585,99.60,2025-02-05
586,586,397.06,2025-01-09
587,587,116.56,2025-04-13
588,588,944.29,2025-03-01
589,589,274.19,2025-03-27
590,590,525.05,2025-04-12
591,591,102.78,2025-01-22
592,592,61.00,2025-01-29
593,593,938.86,2025-02-10
594,594,234.01,2025-01-23
595,595,558.71,2025-03-07
596,596,923.55,2025-05-07
597,597,235.55,2025-02-12
598,598,511.25,2025-04-30
599,599,618.23,2025-01-03
600,600,284.62,2025-05-02
601,601,937.50,2025-02-24
602,602,106.07,2025-05-01
603,603,914.94,2025-03-21
604,604,639.13,2025-04-05
605,605,883.53,2025-01-22
606,606,606.06,2025-04-02
607,607,854.79,2025-03-28
608,608,479.29,2025-03-02
609,609,359.15,2025-04-08
610,610,513.26,2025-03-16
611,611,412.43,2025-01-31
612,612,248.78,2025-02-18
613,613,358.28,2025-01-28
614,614,83.22,2025-04-26
615,615,662.01,2025-02-22
616,616,651.23,2025-02-08
617,617,476.41,2025-01-07
618,618,402.00,2025-04-06
619,619,692.26,2025-03-06
620,620,985.35,2025-04-06
621,621,512.15,2025-02-12
622,622,742.19,2025-01-26
623,623,951.16,2025-01-30
624,624,714.75,2025-02-23
625,625,660.49,2025-01-03
626,626,935.08,2025-04-10
627,627,396.34,2025-01-14
628,628,349.17,2025-03-04
629,629,736.51,2025-05-06
630,630,424.12,2025-03-16
631,631,820.10,2025-01-20
632,632,214.19,2025-01-16
633,633,522.01,2025-01-13
634,634,702.99,2025-03-27
635,635,533.50,2025-04-30
636,636,212.34,2025-01-31
637,637,920.30,2025-03-29
638,638,429.29,2025-04-24
639,639,838.63,2025-02-10
640,640,246.52,2025-02-15
641,641,860.98,2025-01-21
642,642,782.41,2025-03-08
643,643,228.17,2025-02-25
644,644,275.30,2025-04-20
645,645,305.19,2025-04-05
646,646,947.46,2025-04-23
647,647,491.95,2025-02-16
648,648,208.96,2025-03-25
649,649,387.30,2025-01-26
650,650,700.15,2025-01-16
651,651,351.73,2025-03-06
652,652,365.16,2025-01-25
653,653,299.34,2025-01-07
654,654,466.97,2025-02-22
655,655,845.68,2025-04-25
656,656,319.00,2025-01-05
657,657,726.82,2025-03-13
658,658,535.54,2025-04-12
659,659,878.84,2025-04-13
660,660,139.47,2025-02-26
661,661,89.24,2025-02-20
662,662,310.86,2025-02-15
663,663,778.59,2025-04-29
664,664,273.11,2025-03-28
665,665,406.07,2025-01-21
666,666,964.01,2025-03-04
667,667,255.19,2025-04-04
668,668,415.97,2025-02-20
669,669,299.28,2025-02-11
670,670,433.23,2025-01-07
671,671,464.04,2025-02-04
672,672,556.70,2025-03-25
673,673,993.84,2025-02-22
674,674,478.92,2025-05-01
675,675,149.93,2025-03-24
676,676,703.18,2025-04-27
677,677,138.53,2025-01-29
678,678,129.30,2025-02-23
679,679,594.12,2025-03-19
680,680,291.86,2025-04-18
681,681,529.11,2025-04-04
682,682,448.68,2025-04-09
683,683,769.12,2025-04-25
684,684,925.07,2025-03-15
685,685,387.99,2025-03-30
686,686,768.64,2025-01-10
687,687,578.04,2025-02-19
688,688,49.75,2025-01-23
689,689,555.05,2025-03-05
690,690,269.35,2025-04-02
691,691,715.38,2025-02-04
692,692,201.09,2025-02-24
693,693,793.45,2025-02-11
694,694,496.01,2025-01-08
695,695,398.06,2025-03-13
696,696,493.02,2025-02-23
697,697,740.29,2025-04-26
698,698,261.71,2025-03-27
699,699,251.15,2025-01-28
700,700,288.74,2025-03-26
701,701,373.17,2025-05-01
702,702,692.76,2025-04-21
703,703,976.07,2025-01-08
704,704,325.85,2025-02-22
705,705,756.43,2025-01-22
706,706,244.79,2025-05-01
707,707,313.29,2025-04-11
708,708,88.99,2025-02-28
709,709,558.08,2025-02-24
710,710,476.14,2025-05-07
711,711,250.65,2025-01-16
712,712,722.98,2025-04-05
713,713,197.07,2025-02-22
714,714,939.97,2025-01-23
715,715,381.94,2025-04-26
716,716,39.48,2025-04-23
717,717,593.03,2025-04-25
718,718,977.33,2025-02-16
719,719,254.96,2025-02-19
720,720,68.44,2025-04-23
721,721,776.10,2025-02-13
722,722,512.58,2025-01-06
723,723,860.19,2025-02-22
724,724,626.50,2025-04-02
725,725,745.06,2025-04-02
726,726,602.32,2025-04-17
727,727,898.71,2025-03-03
728,728,142.10,2025-02-26
729,729,417.01,2025-02-24
730,730,450.35,2025-01-24
731,731,735.95,2025-01-19
732,732,353.25,2025-04-22
733,733,540.70,2025-02-08
734,734,428.59,2025-02-21
735,735,797.32,2025-01-08
736,736,589.70,2025-02-06
737,737,462.23,2025-03-31
738,738,813.11,2025-02-27
739,739,151.18,2025-01-12
740,740,637.00,2025-03-09
741,741,758.50,2025-04-02
742,742,110.10,2025-03-09
743,743,287.26,2025-04-23
744,744,876.67,2025-01-17
745,745,510.72,2025-04-17
746,746,203.78,2025-04-14
747,747,842.99,2025-02-06
748,748,428.89,2025-04-30
749,749,512.96,2025-03-18
750,750,392.50,2025-02-02
751,751,78.40,2025-04-26
752,752,790.14,2025-03-27
753,753,542.78,2025-02-28
754,754,281.55,2025-03-14
755,755,113.24,2025-02-06
756,756,94.82,2025-02-21
757,757,452.31,2025-01-29
758,758,289.00,2025-03-28
759,759,187.96,2025-02-05
760,760,414.30,2025-04-04
761,761,844.66,2025-01-14
762,762,306.87,2025-05-06
763,763,394.65,2025-02-04
764,764,867.05,2025-05-07
765,765,822.16,2025-01-06
766,766,893.31,2025-02-08
767,767,249.24,2025-01-31
768,768,118.23,2025-05-01
769,769,262.24,2025-03-18
770,770,317.70,2025-01-26
771,771,691.61,2025-01-18
772,772,235.98,2025-03-03
773,773,242.01,2025-02-15
774,774,113.54,2025-03-18
775,775,473.10,2025-02-08
776,776,533.07,2025-01-13
777,777,50.91,2025-04-17
778,778,375.70,2025-04-27
779,779,505.57,2025-03-07
780,780,103.10,2025-04-03
781,781,646.38,2025-01-17
782,782,703.53,2025-05-06
783,783,905.13,2025-04-04
784,784,743.17,2025-01-23
785,785,686.85,2025-03-08
786,786,612.49,2025-01-03
787,787,352.92,2025-03-28
788,788,724.57,2025-03-08
789,789,653.25,2025-01-03
790,790,508.20,2025-01-29
791,791,827.05,2025-05-06
792,792,576.12,2025-04-05
793,793,753.54,2025-03-02
794,794,704.35,2025-02-10
795,795,115.09,2025-04-19
796,796,489.13,2025-02-20
797,797,285.85,2025-02-21
798,798,364.42,2025-02-17
799,799,885.06,2025-02-15
800,800,216.09,2025-02-17
801,801,309.54,2025-03-20
802,802,976.34,2025-05-07
803,803,223.24,2025-01-01
804,804,51.04,2025-04-07
805,805,219.55,2025-04-05
806,806,358.58,2025-02-26
807,807,982.55,2025-04-09
808,808,615.07,2025-01-21
809,809,189.82,2025-02-17
810,810,747.79,2025-01-11
811,811,797.97,2025-04-15
812,812,468.68,2025-04-06
813,813,593.21,2025-03-01
814,814,861.96,2025-02-04
815,815,487.20,2025-03-19
816,816,68.20,2025-01-08
817,817,20.96,2025-03-10
818,818,751.03,2025-04-15
819,819,629.09,2025-01-31
820,820,171.64,2025-01-27
821,821,350.08,2025-05-04
822,822,43.02,2025-01-19
823,823,713.43,2025-05-07
824,824,997.76,2025-02-17
825,825,978.93,2025-04-14
826,826,46.80,2025-03-28
827,827,565.59,2025-01-01
828,828,760.81,2025-05-01
829,829,671.88,2025-04-13
830,830,445.05,2025-01-11
831,831,729.55,2025-02-11
832,832,349.19,2025-04-14
833,833,40.07,2025-04-24
834,834,932.08,2025-03-15
835,835,916.85,2025-02-15
836,836,174.66,2025-02-21
837,837,575.14,2025-02-19
838,838,833.94,2025-01-23
839,839,897.40,2025-03-04
840,840,971.13,2025-01-29
841,841,988.27,2025-02-15
842,842,704.25,2025-02-02
843,843,62.22,2025-02-16
844,844,329.95,2025-03-04
845,845,792.64,2025-04-30
846,846,157.71,2025-03-04
847,847,453.42,2025-05-02
848,848,793.64,2025-01-17
849,849,770.17,2025-04-06
850,850,751.47,2025-04-01
851,851,666.89,2025-01-27
852,852,586.98,2025-01-25
853,853,151.03,2025-02-06
854,854,411.28,2025-01-31
855,855,732.57,2025-04-22
856,856,410.95,2025-02-23
857,857,390.72,2025-03-20
858,858,557.62,2025-04-21
859,859,483.92,2025-03-20
860,860,75.42,2025-03-01
861,861,488.75,2025-01-14
862,862,886.99,2025-01-21
863,863,490.62,2025-01-08
864,864,193.91,2025-05-02
865,865,983.84,2025-02-03
866,866,229.97,2025-02-08
867,867,843.38,2025-01-08
868,868,285.39,2025-01-02
869,869,887.33,2025-01-13
870,870,494.27,2025-03-10
871,871,645.41,2025-03-19
872,872,714.09,2025-03-18
873,873,59.00,2025-04-29
874,874,324.07,2025-03-03
875,875,53.06,2025-03-12
876,876,640.88,2025-04-04
877,877,722.97,2025-02-01
878,878,973.71,2025-02-12
879,879,409.87,2025-04-26
880,880,535.83,2025-01-26
881,881,763.64,2025-03-11
882,882,521.35,2025-03-17
883,883,344.79,2025-01-25
884,884,267.68,2025-01-25
885,885,917.51,2025-05-05
886,886,523.41,2025-02-23
887,887,463.06,2025-03-22
888,888,654.22,2025-02-21
889,889,285.01,2025-02-25
890,890,507.83,2025-03-31
891,891,603.34,2025-02-15
892,892,272.60,2025-04-04
893,893,894.81,2025-03-04
894,894,812.96,2025-02-08
895,895,611.37,2025-01-15
896,896,335.38,2025-01-24
897,897,550.81,2025-01-06
898,898,807.86,2025-04-05
899,899,751.81,2025-02-05
900,900,579.31,2025-02-06
901,901,724.93,2025-01-29
902,902,980.65,2025-03-01
903,903,517.04,2025-02-01
904,904,38.91,2025-02-13
905,905,436.87,2025-04-26
906,906,543.16,2025-03-02
907,907,930.16,2025-02-28
908,908,937.94,2025-02-27
909,909,38.83,2025-03-08
910,910,514.47,2025-04-21
911,911,365.14,2025-02-09
912,912,709.55,2025-03-02
913,913,275.80,2025-04-07
914,914,276.24,2025-01-22
915,915,372.53,2025-04-27
916,916,974.43,2025-01-09
917,917,810.69,2025-02-15
918,918,497.45,2025-02-24
919,919,848.77,2025-02-17
920,920,634.72,2025-03-07
921,921,959.71,2025-01-19
922,922,655.96,2025-03-17
923,923,786.64,2025-03-04
924,924,805.57,2025-02-18
925,925,698.79,2025-04-26
926,926,592.63,2025-03-29
927,927,408.67,2025-03-18
928,928,88.09,2025-03-26
929,929,977.13,2025-02-13
930,930,112.28,2025-01-07
